GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BattleShip,wolper.domain,BoardOfShips,51,15,8,0,0,2,8,3,4,3
BattleShip,wolper.domain,GamerSet,122,131,23,11,2,12,18,17,3,15
BattleShip,wolper.domain,StepsMe,0,9,0,0,0,1,0,1,0,1
BattleShip,wolper.domain,ShipList.SmallSip,8,36,0,2,1,8,1,5,1,4
BattleShip,wolper.domain,GamerSet.GamerSetBuilder,10,35,0,0,0,1,1,6,1,6
BattleShip,wolper.domain,ShipList,4,22,0,0,1,5,1,4,1,4
BattleShip,wolper.domain,LogicException,14,9,0,0,3,4,4,1,4,1
BattleShip,wolper.domain,ShipList.Checks,0,603,0,0,0,10,0,1,0,1
BattleShip,wolper.domain,BoardOfShips.Ships,0,24,0,0,0,1,0,1,0,1
BattleShip,wolper.domain,Gamer,134,21,30,0,1,3,20,6,5,6
BattleShip,wolper.web,RestController,40,94,4,4,4,15,3,7,0,6
BattleShip,wolper.game,PlayerValidator,18,49,4,16,3,13,3,10,0,3
BattleShip,wolper.game,ShipMapper,41,129,4,16,6,22,3,10,0,3
BattleShip,wolper.game,GameLogic,133,450,32,58,1,97,32,29,0,15
BattleShip,wolper.persistence.database,UserDaoImpl,79,126,1,1,22,31,3,4,2,4
